16. [645f780d-e315-4408-9acd-05edf76fe2ac] ADMINISTRATIVE | sources=1 | status=NORMALIZED | 2. Bases - SNR-CAD-265-CAD-S-2026.pdf p15 | CATEGORY_SUPPORTED | En caso de que el PARTICIPANTE decida presentar su PROPUESTA en consorcio, deberá informarlo por escrito al ÁREA CONTRATANTE de conformidad con la Regla 7.4 de la Versión Final de Bases de Contratación.
17. [94e501cb-064d-44ae-9f80-af96f57f124a] INSTRUCTIONS | sources=1 | status=NORMALIZED | 2.1. ANEXOS - CAD-265-2026.pdf p85 | CATEGORY_SUPPORTED | En caso de que su participación sea en consorcio se deberá integrar la documentación antes mencionada por cada uno de los integrantes del mismo.
18. [539ff3fa-5548-4e2c-b728-381a2863aac5] EXPERIENCE | sources=1 | status=NORMALIZED | 2.1. ANEXOS - CAD-265-2026.pdf p25 | CATEGORY_SUPPORTED | En el caso de que el personal propuesto haya participado en la ejecución de un Contrato que contemple la construcción de varios trabajos, el PARTICIPANTE deberá relacionar cada uno de los trabajos ejecutados en ese Contrato.
19. [49ba9443-faa9-42d3-9da1-cc56d1ddd160] UNKNOWN | sources=1 | status=REVIEW_REQUIRED | 2. Bases - SNR-CAD-265-CAD-S-2026.pdf p15 | CATEGORY_REVIEW | La documentación que se genere derivado del PROCEDIMIENTO DE CONTRATACIÓN, así como la PROPUESTA, se presentará en idioma español.
20. [806385bf-1fc9-4a6f-95df-fea34555c1d2] INSTRUCTIONS | sources=1 | status=NORMALIZED | 2. Bases - SNR-CAD-265-CAD-S-2026.pdf p15 | CATEGORY_SUPPORTED | La PROPUESTA deberá ser firmada por el representante común que haya sido designado por los integrantes del grupo en el convenio.
21. [540ab7f7-7e3f-4114-986c-cdc58c19f9d9] ADMINISTRATIVE | sources=1 | status=NORMALIZED | 2. Bases - SNR-CAD-265-CAD-S-2026.pdf p14 | CATEGORY_SUPPORTED | Las modificaciones a las Bases de Contratación serán de observancia obligatoria, se plasmarán en la Versión Final de las Bases de Contratación y deberán ser consideradas por el PARTICIPANTE para la elaboración de su PROPUESTA.
22. [a57321ff-a743-4dc6-94e6-87c835a2b734] INSTRUCTIONS | sources=1 | status=NORMALIZED | 2. Bases - SNR-CAD-265-CAD-S-2026.pdf p14 | CATEGORY_SUPPORTED | Los INTERESADOS deberán realizar y entregar las solicitudes de aclaración utilizando el formato DA-2 de la SECCIÓN X de las Bases de Contratación debidamente firmado por el representante del INTERESADO, en formato PDF y editable.
23. [3bcbbd28-c612-48bb-a1b4-a278243ca8db] ECONOMIC | sources=1 | status=REVIEW_REQUIRED | 2.1. ANEXOS - CAD-265-2026.pdf p79 | CATEGORY_REVIEW | Los PARTICIPANTES en su propuesta económica incluirán los documentos que se enlistan a continuación:
24. [370ddd68-76f0-4263-beda-524eda39f47f] ECONOMIC | sources=1 | status=REVIEW_REQUIRED | 2. Bases - SNR-CAD-265-CAD-S-2026.pdf p19 | CATEGORY_REVIEW | Los precios unitarios ofertados en su Propuesta Económica a la baja no podrán ser mayores a los originalmente presentados, en su caso:
25. [16f8f247-3f39-40f0-bf76-f53f282c5526] PERSONNEL | sources=1 | status=REVIEW_REQUIRED | 2.1. ANEXOS - CAD-265-2026.pdf p24 | CATEGORY_REVIEW | n T3) . a nte r ne ap na Dde id personal técnico responsable de ejecutar la rehabilitación de los sistemas El participante deberà de incluir Curriculum Vitae, copia simple de titulo ycédula profesional del personal clave identificandolos profesionales técnicos al servicio del PARTICIPANTE, que serán responsables de la dirección y supervisión de los servicios con caracteristicas técnicas y magnitud similares, como parte de su propuesta técnica, deberá presentar la documentación que acredite la experiencia del personal asignado a la ejecución de los servicios, mediante constancias de experiencia (expedidas por el participante u otra empresa), cartas laborales u otros documentos equivalentes que demuestren su participación en al menos 2 (dos) servicios en el mantenimiento a estos sistemas de control distribuido (SCD) de la familia (Centum VP) y/o Sistemas Instrumentados de Seguridad (SIS, ESD, F&G, BMS) de la familia Prosafe RS, de no más de 5 años a la fecha.
26. [98314e55-a33f-486f-aeff-a94a14cd83bd] UNKNOWN | sources=1 | status=REVIEW_REQUIRED | 2. Bases - SNR-CAD-265-CAD-S-2026.pdf p20 | CATEGORY_REVIEW | nacional. No obstante, los PARTICIPANTES deberán integrar en su PROPUESTA el porcentaje ofertado.
27. [0b92b490-eabb-415b-9ec4-de70a6230f79] UNKNOWN | sources=1 | status=REVIEW_REQUIRED | 2.1. ANEXOS - CAD-265-2026.pdf p19 | CATEGORY_REVIEW | NOTA: PARA EL CASO DE CONSORCIOS, CADA UNO DE LOS INTEGRANTES DEL CONSORCIO PARTICIPEN CONJUNTAMENTE, DEBERÁN ANEXAR EL CERTIFICADO VIGENTE EMITIDO POR EL A.C.
28. [a5fd8e49-8a29-43ca-8414-e1f1a6d8b866] INSTRUCTIONS | sources=1 | status=NORMALIZED | 2. Bases - SNR-CAD-265-CAD-S-2026.pdf p16 | CATEGORY_SUPPORTED | Propuesta Comercial El PARTICIPANTE deberá integrar su propuesta con los documentos solicitados en el apartado Requisitos criterios evaluación comercial (aspecto legal/administrativo) en archivos debidamente identificados (formato .pdf y/o .zip).
29. [3cfa3185-679b-496f-888f-3d121e271ace] INSTRUCTIONS | sources=1 | status=NORMALIZED | 2. Bases - SNR-CAD-265-CAD-S-2026.pdf p16 | CATEGORY_SUPPORTED | Propuesta Económica El PARTICIPANTE deberá integrar su propuesta con los documentos solicitados en el apartado D-4 Requisitos y criterios de evaluación económica en archivos debidamente identificados (formato pdf y/o .zip).
30. [2f6ee301-8e20-43d6-ac41-4c9aea528074] UNKNOWN | sources=1 | status=REVIEW_REQUIRED | 2. Bases - SNR-CAD-265-CAD-S-2026.pdf p15 | CATEGORY_REVIEW | Tratándose de una propuesta conjunta, los escritos solicitados en los documentos DC-1, DC-2, DC-5, DC- 6, DC-8 y DC-9 de la SECCIÓN V, así como los documentos DD-1, DD-2, DD-3, DD-4, DD-5, DD-6, DD-7, DD-8, DD-9 y DD-10 de la SECCIÓN VIII.1 de la Versión Final de las Bases de Contratación, deberán ser presentados por cada uno de los integrantes que presentan la propuesta conjunta.
31. [7819f7c4-8e05-492c-9d68-7a430c6f1297] TECHNICAL | sources=1 | status=REVIEW_REQUIRED | 2.1. ANEXOS - CAD-265-2026.pdf p26 | CATEGORY_REVIEW | we El participante deberá presentar en su propuesta técnica copia de sls Certificado de calidad ISO 9001:2015 el cual
32. [32448695-935f-4e2c-a499-69af04cc882d] TECHNICAL | sources=1 | status=NORMALIZED | 2.1. ANEXOS - CAD-265-2026.pdf p26 | CATEGORY_SUPPORTED | Y El participante deberá presentar en su propuesta técnica carta de ¡respaldo del año en curso emitida por el fabricante donde manifieste el apoyo técnico sobre el sistema de control, haciendo referencia al concurso y al participante
